year,lab,harvest,scl_h,food_mt,total_landings,total_food
2014,Mariculture: animals,26033434.2748,26033434.2748,9585476.285611587,135052008.25779998,61794575.594375014
2014,Mariculture: plants,28974805.983,28974805.983,2897480.5983,135052008.25779998,61794575.594375014
2014,Wild fisheries,80043768,65635889.760000005,49311618.71046343,135052008.25779998,61794575.594375014
2015,Mariculture: animals,26834305.73194,26834305.73194,9875045.69994971,139043472.73394,63302174.26492625
2015,Mariculture: plants,30981420.002,30981420.002,3098142.0002,139043472.73394,63302174.26492625
2015,Wild fisheries,81227747,66606752.54000001,50328986.56477654,139043472.73394,63302174.26492625
2016,Mariculture: animals,28276271.533045,28276271.533045,10288307.998237746,138747597.519045,63006399.99310119
2016,Mariculture: plants,31576218.985,31576218.985,3157621.8985,138747597.519045,63006399.99310119
2016,Wild fisheries,78895107.001,64693987.740820006,49560470.09636344,138747597.519045,63006399.99310119
2017,Mariculture: animals,30605189.62324,30605189.62324,11615668.585431615,143776857.26924,65948141.05885172
2017,Mariculture: plants,31736962.537,31736962.537,3173696.2537000002,143776857.26924,65948141.05885172
2017,Wild fisheries,81434705.109,66776458.189380005,51158776.2197201,143776857.26924,65948141.05885172
